model,hardware,compute,bandwidth,execution_scenario,ttft,source_section,source_url,notes
Qwen3-8B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"random 128 input, in=128, out=4, prompts=1000, peak_conc=1000.00, vLLM","mean=18464.39 ms, median=17489.55 ms, p99=22134.55 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
Qwen3-8B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"ShareGPT batch size 4, prompts=100, max_conc=4, peak_conc=8.00, vLLM","mean=145.88 ms, median=142.78 ms, p99=201.58 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,Baseline vLLM result for 'ShareGPT batch size 4' on the GPUStack 2.0 page.
Qwen3-8B,H100,800TFLOPS FP16,2TB/s,"ShareGPT high concurrency, prompts=100, max_conc=4, peak_conc=13.00, vLLM","mean=64.00 ms, median=60.26 ms, p99=98.59 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/h100-latency/,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-14B,A100,~312 TFLOPS FP16,600 GB/s,"ShareGPT high concurrency, prompts=1000, peak_conc=1000.00, vLLM","mean=41875.09 ms, median=39151.17 ms, p99=83576.82 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-14B,A100,~312 TFLOPS FP16,600 GB/s,"random 32K input, in=32768, out=100, prompts=100, peak_conc=100.00, vLLM","mean=359648.08 ms, median=359424.54 ms, p99=714338.15 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
Qwen3-14B,A100,~312 TFLOPS FP16,600 GB/s,"random 4K input, in=4096, out=200, prompts=500, peak_conc=500.00, vLLM","mean=197625.03 ms, median=196621.85 ms, p99=396056.32 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
Qwen3-14B,A100,~312 TFLOPS FP16,600 GB/s,"random 2K input, in=2048, out=100, prompts=500, peak_conc=500.00, vLLM","mean=86908.30 ms, median=86575.09 ms, p99=170607.65 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
Qwen3-14B,A100,~312 TFLOPS FP16,600 GB/s,"random 128 input, in=128, out=4, prompts=1000, peak_conc=1000.00, vLLM","mean=19451.46 ms, median=19150.52 ms, p99=26523.59 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
Qwen3-14B,H100,800TFLOPS FP16,2TB/s,"ShareGPT high concurrency, prompts=1000, peak_conc=1000.00, vLLM","mean=22141.21 ms, median=21872.31 ms, p99=31156.86 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-14B,H100,800TFLOPS FP16,2TB/s,"random 32K input, in=32768, out=100, prompts=100, peak_conc=100.00, vLLM","mean=191024.43 ms, median=191051.49 ms, p99=380407.97 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
Qwen3-14B,H100,800TFLOPS FP16,2TB/s,"random 4K input, in=4096, out=200, prompts=500, peak_conc=500.00, vLLM","mean=112716.92 ms, median=110734.54 ms, p99=219749.74 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
Qwen3-14B,H100,800TFLOPS FP16,2TB/s,"random 2K input, in=2048, out=100, prompts=500, peak_conc=500.00, vLLM","mean=50716.13 ms, median=49138.28 ms, p99=94614.51 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
Qwen3-14B,H100,800TFLOPS FP16,2TB/s,"random 128 input, in=128, out=4, prompts=1000, peak_conc=1000.00, vLLM","mean=18282.75 ms, median=18061.13 ms, p99=22564.77 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
Qwen3-32B,A100,~312 TFLOPS FP16,600 GB/s,"ShareGPT high concurrency, prompts=1000, peak_conc=1000.00, vLLM","mean=105557.78 ms, median=105990.93 ms, p99=209863.50 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-32B,A100,~312 TFLOPS FP16,600 GB/s,"random 32K input, in=32768, out=100, prompts=100, peak_conc=100.00, vLLM","mean=890711.38 ms, median=892708.86 ms, p99=1760024.36 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
Qwen3-32B,A100,~312 TFLOPS FP16,600 GB/s,"random 4K input, in=4096, out=200, prompts=500, peak_conc=500.00, vLLM","mean=566579.70 ms, median=564705.97 ms, p99=1116945.95 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
Qwen3-32B,A100,~312 TFLOPS FP16,600 GB/s,"random 2K input, in=2048, out=100, prompts=500, peak_conc=500.00, vLLM","mean=208397.03 ms, median=209108.79 ms, p99=408103.76 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
Qwen3-32B,A100,~312 TFLOPS FP16,600 GB/s,"random 128 input, in=128, out=4, prompts=1000, peak_conc=1000.00, vLLM","mean=31177.64 ms, median=31073.76 ms, p99=48960.57 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
Qwen3-32B,H100,800TFLOPS FP16,2TB/s,"ShareGPT high concurrency, prompts=1000, peak_conc=1000.00, vLLM","mean=78118.74 ms, median=77291.46 ms, p99=153161.51 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-32B,H100,800TFLOPS FP16,2TB/s,"random 32K input, in=32768, out=100, prompts=100, peak_conc=100.00, vLLM","mean=585981.22 ms, median=582757.65 ms, p99=1144686.57 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
Qwen3-32B,H100,800TFLOPS FP16,2TB/s,"random 4K input, in=4096, out=200, prompts=500, peak_conc=500.00, vLLM","mean=482284.21 ms, median=483375.28 ms, p99=956141.26 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
Qwen3-32B,H100,800TFLOPS FP16,2TB/s,"random 2K input, in=2048, out=100, prompts=500, peak_conc=500.00, vLLM","mean=163909.40 ms, median=164148.38 ms, p99=322980.86 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
Qwen3-32B,H100,800TFLOPS FP16,2TB/s,"random 128 input, in=128, out=4, prompts=1000, peak_conc=1000.00, vLLM","mean=21648.67 ms, median=21342.36 ms, p99=32678.31 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
Qwen3-30B-A3B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"ShareGPT high concurrency, prompts=1000, peak_conc=1000.00, vLLM","mean=91791.47 ms, median=85430.73 ms, p99=217017.19 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-30B-A3B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"random 32K input, in=32768, out=100, prompts=100, peak_conc=100.00, vLLM","mean=442404.81 ms, median=440136.40 ms, p99=853640.24 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
Qwen3-30B-A3B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"random 4K input, in=4096, out=200, prompts=500, peak_conc=500.00, vLLM","mean=156755.15 ms, median=163311.37 ms, p99=314736.64 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
Qwen3-30B-A3B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"random 2K input, in=2048, out=100, prompts=500, peak_conc=500.00, vLLM","mean=56434.48 ms, median=62622.42 ms, p99=117368.72 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
Qwen3-30B-A3B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"random 128 input, in=128, out=4, prompts=1000, peak_conc=1000.00, vLLM","mean=19130.06 ms, median=17860.56 ms, p99=23751.62 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
Qwen3-30B-A3B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"ShareGPT batch size 4, prompts=1000, max_conc=4, peak_conc=7.00, vLLM","mean=359.99 ms, median=357.20 ms, p99=445.74 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,Baseline vLLM result for 'ShareGPT batch size 4' on the GPUStack 2.0 page.
Qwen3-235B-A22B,A100,~312 TFLOPS FP16,600 GB/s,"ShareGPT high concurrency, prompts=1000, peak_conc=1000.00, vLLM","mean=38065.91 ms, median=37597.63 ms, p99=77082.58 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-235B-A22B,A100,~312 TFLOPS FP16,600 GB/s,"random 32K input, in=32768, out=100, prompts=100, peak_conc=100.00, vLLM","mean=240229.05 ms, median=240137.10 ms, p99=475251.39 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
Qwen3-235B-A22B,A100,~312 TFLOPS FP16,600 GB/s,"random 4K input, in=4096, out=200, prompts=500, peak_conc=500.00, vLLM","mean=122190.64 ms, median=121615.01 ms, p99=244882.42 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
Qwen3-235B-A22B,A100,~312 TFLOPS FP16,600 GB/s,"random 2K input, in=2048, out=100, prompts=500, peak_conc=500.00, vLLM","mean=54722.50 ms, median=54532.60 ms, p99=106756.03 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
Qwen3-235B-A22B,A100,~312 TFLOPS FP16,600 GB/s,"random 128 input, in=128, out=4, prompts=1000, peak_conc=1000.00, vLLM","mean=12767.63 ms, median=12409.68 ms, p99=17339.37 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
Qwen3-235B-A22B,H100,800TFLOPS FP16,2TB/s,"ShareGPT high concurrency, prompts=984, peak_conc=984.00, vLLM","mean=8730.69 ms, median=8707.89 ms, p99=12940.37 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-235B-A22B,H100,800TFLOPS FP16,2TB/s,"random 32K input, in=32768, out=100, prompts=100, peak_conc=100.00, vLLM","mean=70409.55 ms, median=70737.29 ms, p99=138084.17 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
Qwen3-235B-A22B,H100,800TFLOPS FP16,2TB/s,"random 4K input, in=4096, out=200, prompts=500, peak_conc=500.00, vLLM","mean=47811.58 ms, median=48562.54 ms, p99=93161.32 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
Qwen3-235B-A22B,H100,800TFLOPS FP16,2TB/s,"random 2K input, in=2048, out=100, prompts=500, peak_conc=500.00, vLLM","mean=21313.79 ms, median=20242.32 ms, p99=40939.00 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
Qwen3-235B-A22B,H100,800TFLOPS FP16,2TB/s,"random 128 input, in=128, out=4, prompts=984, peak_conc=984.00, vLLM","mean=7042.17 ms, median=6882.45 ms, p99=8721.24 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
