source_name,source_section,source_url,record_type,hardware,hardware_count,model_name,precision_or_quantization,engine,serving_script,scenario_type,workload_name,dataset_name,batch_size,input_tokens,output_tokens,num_prompts,max_request_concurrency,peak_concurrent_requests,compute_text,bandwidth_text,request_throughput_req_s,output_token_throughput_tok_s,peak_output_token_throughput_tok_s,total_token_throughput_tok_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,comparison_value,notes
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,online_serving_benchmark,Ascend 910B,1,Qwen3-8B,BF16,vLLM,vllm serve Qwen/Qwen3-8B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,1000,,1000.00,~313 TFLOPS FP16,392 GB/s,7.51,1512.21,2821.00,3143.94,43963.16,41177.19,91086.90,125.09,122.07,269.65,112.90,78.96,280.07,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,online_serving_benchmark,Ascend 910B,1,Qwen3-8B,BF16,vLLM,vllm serve Qwen/Qwen3-8B,online_serving_benchmark,random 32K input,random,,32768,100,100,,100.00,~313 TFLOPS FP16,392 GB/s,0.09,9.01,147.00,2890.64,559550.01,561560.86,1096851.78,344.18,346.89,668.43,340.74,48.54,59.04,,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,online_serving_benchmark,Ascend 910B,1,Qwen3-8B,BF16,vLLM,vllm serve Qwen/Qwen3-8B,online_serving_benchmark,random 4K input,random,,4096,200,500,,500.00,~313 TFLOPS FP16,392 GB/s,1.83,365.38,1062.00,7677.41,132541.20,135284.67,262452.37,99.26,100.01,175.24,98.69,55.84,134.52,,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,online_serving_benchmark,Ascend 910B,1,Qwen3-8B,BF16,vLLM,vllm serve Qwen/Qwen3-8B,online_serving_benchmark,random 2K input,random,,2048,100,500,,500.00,~313 TFLOPS FP16,392 GB/s,4.57,457.47,1904.00,9589.00,53978.52,57661.39,103428.31,140.39,142.80,275.05,139.05,63.53,627.10,,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,online_serving_benchmark,Ascend 910B,1,Qwen3-8B,BF16,vLLM,vllm serve Qwen/Qwen3-8B,online_serving_benchmark,random 128 input,random,,128,4,1000,,1000.00,~313 TFLOPS FP16,392 GB/s,44.28,177.10,1280.00,5834.79,18464.39,17489.55,22134.55,125.55,135.76,149.27,94.16,83.83,251.91,,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,online_serving_benchmark,Ascend 910B,1,Qwen3-8B,BF16,vLLM,vllm serve Qwen/Qwen3-8B,online_serving_benchmark,ShareGPT batch size 4,ShareGPT,,,,100,4,8.00,~313 TFLOPS FP16,392 GB/s,0.36,80.06,92.00,164.46,145.88,142.78,201.58,47.28,47.29,50.41,47.10,46.72,91.82,,Baseline vLLM result for 'ShareGPT batch size 4' on the GPUStack 2.0 page.
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/h100-latency/,online_serving_benchmark,H100,1,Qwen3-8B,BF16,vLLM,vllm serve Qwen/Qwen3-8B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,100,4,13.00,800TFLOPS FP16,2TB/s,2.25,496.88,540.00,1020.76,64.00,60.26,98.59,7.38,7.40,7.96,7.78,7.37,40.98,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,online_serving_benchmark,A100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,1000,,1000.00,~312 TFLOPS FP16,600 GB/s,9.36,1887.31,4616.00,3922.41,41875.09,39151.17,83576.82,114.34,106.15,262.52,95.04,85.55,271.69,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,online_serving_benchmark,A100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,random 32K input,random,,32768,100,100,,100.00,~312 TFLOPS FP16,600 GB/s,0.14,13.65,130.00,4430.14,359648.08,359424.54,714338.15,445.58,462.54,463.96,441.08,448.05,594.59,,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,online_serving_benchmark,A100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,random 4K input,random,,4096,200,500,,500.00,~312 TFLOPS FP16,600 GB/s,1.23,245.13,1304.00,5153.42,197625.03,196621.85,396056.32,254.61,272.93,283.50,253.82,369.00,377.42,,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,online_serving_benchmark,A100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,random 2K input,random,,2048,100,500,,500.00,~312 TFLOPS FP16,600 GB/s,2.85,284.64,1722.00,5967.13,86908.30,86575.09,170607.65,301.73,334.17,334.55,299.28,333.99,338.95,,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/a100/,online_serving_benchmark,A100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,random 128 input,random,,128,4,1000,,1000.00,~312 TFLOPS FP16,600 GB/s,37.33,149.33,618.00,4916.63,19451.46,19150.52,26523.59,233.35,238.61,251.05,175.01,237.82,253.18,,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,online_serving_benchmark,H100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,1000,,1000.00,800TFLOPS FP16,2TB/s,15.74,3173.92,8890.00,6595.66,22141.21,21872.31,31156.86,226.03,117.46,621.87,92.83,59.99,627.72,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,online_serving_benchmark,H100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,random 32K input,random,,32768,100,100,,100.00,800TFLOPS FP16,2TB/s,0.26,25.48,192.00,8298.56,191024.43,191051.49,380407.97,277.44,284.52,324.14,274.38,43.48,1101.18,,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,online_serving_benchmark,H100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,random 4K input,random,,4096,200,500,,500.00,800TFLOPS FP16,2TB/s,2.20,438.56,1536.00,9218.03,112716.92,110734.54,219749.74,132.45,139.68,161.93,132.11,43.93,656.79,,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,online_serving_benchmark,H100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,random 2K input,random,,2048,100,500,,500.00,800TFLOPS FP16,2TB/s,5.06,505.51,2890.00,10597.19,50716.13,49138.28,94614.51,206.51,231.62,236.67,204.84,46.01,642.06,,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-14b/h100/,online_serving_benchmark,H100,1,Qwen3-14B,BF16,vLLM,vllm serve Qwen/Qwen3-14B,online_serving_benchmark,random 128 input,random,,128,4,1000,,1000.00,800TFLOPS FP16,2TB/s,44.02,176.06,843.00,5796.73,18282.75,18061.13,22564.77,525.31,597.29,610.81,393.98,581.28,633.07,,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,online_serving_benchmark,A100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,1000,,1000.00,~312 TFLOPS FP16,600 GB/s,4.13,832.43,1950.00,1730.98,105557.78,105990.93,209863.50,149.67,123.31,563.16,117.98,61.18,572.34,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,online_serving_benchmark,A100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,random 32K input,random,,32768,100,100,,100.00,~312 TFLOPS FP16,600 GB/s,0.06,4.32,21.00,1798.45,890711.38,892708.86,1760024.36,67.87,67.32,147.19,64.54,48.55,690.90,,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,online_serving_benchmark,A100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,random 4K input,random,,4096,200,500,,500.00,~312 TFLOPS FP16,600 GB/s,0.44,87.48,180.00,1837.08,566579.70,564705.97,1116945.95,96.19,96.40,99.35,95.82,51.55,628.61,,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,online_serving_benchmark,A100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,random 2K input,random,,2048,100,500,,500.00,~312 TFLOPS FP16,600 GB/s,1.20,120.27,381.00,2521.38,208397.03,209108.79,408103.76,143.23,143.96,166.03,142.07,51.49,590.04,,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/a100/,online_serving_benchmark,A100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,random 128 input,random,,128,4,1000,,1000.00,~312 TFLOPS FP16,600 GB/s,20.17,80.69,200.00,2656.71,31177.64,31073.76,48960.57,528.57,544.55,547.31,396.42,543.22,554.84,,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,online_serving_benchmark,H100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,1000,,1000.00,800TFLOPS FP16,2TB/s,5.62,1131.55,2360.00,2352.82,78118.74,77291.46,153161.51,88.09,70.72,378.18,69.76,50.20,277.93,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,online_serving_benchmark,H100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,random 32K input,random,,32768,100,100,,100.00,800TFLOPS FP16,2TB/s,0.09,6.64,24.00,2771.81,585981.22,582757.65,1144686.57,43.42,43.36,44.34,42.86,43.30,46.54,,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,online_serving_benchmark,H100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,random 4K input,random,,4096,200,500,,500.00,800TFLOPS FP16,2TB/s,0.51,102.21,186.00,2148.69,482284.21,483375.28,956141.26,66.61,62.08,100.86,66.29,43.38,1395.23,,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,online_serving_benchmark,H100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,random 2K input,random,,2048,100,500,,500.00,800TFLOPS FP16,2TB/s,1.52,152.42,359.00,3195.30,163909.40,164148.38,322980.86,86.62,84.24,131.41,85.97,44.80,1462.05,,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-32b/h100/,online_serving_benchmark,H100,1,Qwen3-32B,BF16,vLLM,vllm serve Qwen/Qwen3-32B,online_serving_benchmark,random 128 input,random,,128,4,1000,,1000.00,800TFLOPS FP16,2TB/s,30.42,121.66,522.00,4005.62,21648.67,21342.36,32678.31,1169.72,1292.78,1417.05,877.29,1141.11,1435.80,,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,online_serving_benchmark,Ascend 910B,1,Qwen3-30B-A3B,BF16,vLLM,vllm serve Qwen/Qwen3-30B-A3B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,1000,,1000.00,~313 TFLOPS FP16,392 GB/s,2.93,590.58,1283.00,1227.19,91791.47,85430.73,217017.19,318.03,326.12,376.59,302.02,245.14,557.35,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,online_serving_benchmark,Ascend 910B,1,Qwen3-30B-A3B,BF16,vLLM,vllm serve Qwen/Qwen3-30B-A3B,online_serving_benchmark,random 32K input,random,,32768,100,100,,100.00,~313 TFLOPS FP16,392 GB/s,0.12,11.54,117.00,3704.57,442404.81,440136.40,853640.24,503.84,498.47,998.84,498.80,125.10,177.10,,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,online_serving_benchmark,Ascend 910B,1,Qwen3-30B-A3B,BF16,vLLM,vllm serve Qwen/Qwen3-30B-A3B,online_serving_benchmark,random 4K input,random,,4096,200,500,,500.00,~313 TFLOPS FP16,392 GB/s,1.40,279.64,864.00,5881.36,156755.15,163311.37,314736.64,277.51,273.18,452.09,276.20,243.71,499.20,,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,online_serving_benchmark,Ascend 910B,1,Qwen3-30B-A3B,BF16,vLLM,vllm serve Qwen/Qwen3-30B-A3B,online_serving_benchmark,random 2K input,random,,2048,100,500,,500.00,~313 TFLOPS FP16,392 GB/s,3.74,373.52,1080.00,7843.85,56434.48,62622.42,117368.72,344.86,350.15,667.15,341.55,240.26,1189.67,,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,online_serving_benchmark,Ascend 910B,1,Qwen3-30B-A3B,BF16,vLLM,vllm serve Qwen/Qwen3-30B-A3B,online_serving_benchmark,random 128 input,random,,128,4,1000,,1000.00,~313 TFLOPS FP16,392 GB/s,40.46,161.84,768.00,5340.68,19130.06,17860.56,23751.62,312.49,308.02,338.42,234.36,269.04,465.28,,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-30b-a3b/910b/,online_serving_benchmark,Ascend 910B,1,Qwen3-30B-A3B,BF16,vLLM,vllm serve Qwen/Qwen3-30B-A3B,online_serving_benchmark,ShareGPT batch size 4,ShareGPT,,,,1000,4,7.00,~313 TFLOPS FP16,392 GB/s,0.16,32.18,40.00,66.84,359.99,357.20,445.74,122.71,122.70,134.22,122.00,120.56,236.94,,Baseline vLLM result for 'ShareGPT batch size 4' on the GPUStack 2.0 page.
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,online_serving_benchmark,A100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,1000,,1000.00,~312 TFLOPS FP16,600 GB/s,9.17,1798.14,3297.00,3792.50,38065.91,37597.63,77082.58,123.36,103.68,448.36,100.76,86.83,185.41,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,online_serving_benchmark,A100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,random 32K input,random,,32768,100,100,,100.00,~312 TFLOPS FP16,600 GB/s,0.21,17.00,140.00,6657.49,240229.05,240137.10,475251.39,298.86,307.94,311.82,295.13,303.36,370.10,,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,online_serving_benchmark,A100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,random 4K input,random,,4096,200,500,,500.00,~312 TFLOPS FP16,600 GB/s,1.96,357.26,1403.00,8170.72,122190.64,121615.01,244882.42,205.64,220.33,237.80,204.69,239.57,246.21,,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,online_serving_benchmark,A100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,random 2K input,random,,2048,100,500,,500.00,~312 TFLOPS FP16,600 GB/s,4.46,442.54,1691.00,9342.67,54722.50,54532.60,106756.03,190.79,208.61,209.09,189.23,208.52,211.58,,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/a100/,online_serving_benchmark,A100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,random 128 input,random,,128,4,1000,,1000.00,~312 TFLOPS FP16,600 GB/s,56.56,226.26,948.00,7449.43,12767.63,12409.68,17339.37,155.16,158.22,168.04,116.37,157.64,179.04,,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,online_serving_benchmark,H100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,ShareGPT high concurrency,ShareGPT,,,,984,,984.00,800TFLOPS FP16,2TB/s,20.38,4015.36,9638.00,8424.86,8730.69,8707.89,12940.37,147.56,114.67,342.35,81.31,51.14,677.61,,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,online_serving_benchmark,H100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,random 32K input,random,,32768,100,100,,100.00,800TFLOPS FP16,2TB/s,0.71,57.85,346.00,22657.51,70409.55,70737.29,138084.17,132.10,134.49,182.76,129.44,23.29,376.34,,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,online_serving_benchmark,H100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,random 4K input,random,,4096,200,500,,500.00,800TFLOPS FP16,2TB/s,5.05,931.21,2450.00,21113.53,47811.58,48562.54,93161.32,68.94,72.58,92.94,68.75,30.18,245.68,,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,online_serving_benchmark,H100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,random 2K input,random,,2048,100,500,,500.00,800TFLOPS FP16,2TB/s,11.39,1127.26,4021.00,23858.69,21313.79,20242.32,40939.00,101.08,108.64,125.24,100.16,35.94,244.64,,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
GPUStack Performance Lab,Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-235b-a22b/h100/,online_serving_benchmark,H100,8,Qwen3-235B-A22B,BF16,vLLM,vllm serve Qwen/Qwen3-235B-A22B,online_serving_benchmark,random 128 input,random,,128,4,984,,984.00,800TFLOPS FP16,2TB/s,111.38,445.53,1489.00,14668.27,7042.17,6882.45,8721.24,212.98,238.84,242.28,159.73,235.21,250.35,,Baseline vLLM result for 'random 128 input' on the GPUStack 2.0 page.
